epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask
1603087200,,,,122.314,122.9415436
1603087200,,122.3357391,122.9604348,,
1603090800,,122.374,122.9944286,,
1603090800,,,,122.2885524,122.9120632
1603094400,,,,122.3865774,123.009203
1603094400,,122.4921818,123.0939091,,
1603098000,,122.4512,123.053,,
1603098000,,,,122.3393509,122.9608123
1603101600,,122.4263636,123.0287273,,
1603101600,,,,122.3149575,122.9278265
1603105200,,,,122.2396472,122.849806
1603105200,,122.3116667,122.9898,,
1603108800,,122.3994,123.002,,
1603108800,,,,122.2910694,122.905238
1603112400,,122.5113125,123.105875,,
1603112400,,,,122.3682283,122.9901768
1603116000,,122.5100625,123.1035,,
1603116000,,,,122.3686468,122.9907984
1603119600,,122.544,123.1380909,,
1603119600,,,,122.4154323,123.034816
1603148400,,,,122.439,123.072
1603173600,,122.5013333,123.09425,,
1603173600,,,,122.4633149,123.0546519
1603177200,,122.479513,123.0896696,,
1603177200,,,,122.4140159,123.0525302
1603180800,,,,122.3781117,123.0145369
1603180800,,122.0964615,123.5669231,,
1603184400,,,,122.3723564,123.0082128
1603184400,,122.0821538,123.5741538,,
1603188000,,121.99,123.5841333,,
1603188000,,,,122.322396,122.9590768
1603191600,,,,122.3129606,122.9476717
1603191600,,121.9747857,123.5853571,,
1603195200,,121.9346923,123.5947692,,
1603195200,,,,122.2859429,122.9224521
1603198800,,,,122.2518615,122.8881831
1603198800,,121.8826154,123.6028462,,
1603202400,,,,122.1828389,122.8018009
1603202400,,121.7979474,123.6216842,,
1603206000,,121.7251538,123.6313846,,
1603206000,,,,122.1721092,122.7901023
1603209600,,,,122.199,122.848
1603234800,,,,122.199,122.848
1603260000,,,,121.9869129,122.5773103
1603260000,,121.9712727,122.8454182,,
1603263600,,,,121.8840645,122.5297437
1603263600,,121.8470667,122.7202,,
1603267200,,121.7872143,122.7183571,,
1603267200,,,,121.8767204,122.517019
1603270800,,,,121.9759061,122.6197341
1603270800,,121.9752143,122.736,,
1603274400,,122.15975,122.7865833,,
