epochhours,last_price,firm_executable_bid,firm_executable_ask,market_estimate_bid,market_estimate_ask,FlowTradersMidpoint ,FlowTradesBid ,FlowTradesAsk 
1614589200,125.124,124.7487901,125.237716,124.7808407,125.3628506,,,
1614592800,,,,,,,,
1614596400,,,,124.6877133,125.2669267,,,
1614600000,,124.7783944,125.2390563,,,,,
1614603600,,124.744,125.204,,,,,
1614607200,,,,124.657,125.249,,,
1614610800,,124.8957736,125.381,,,,,
1614614400,,,,124.8213735,125.3806148,,,
1614618000,,,,124.9862877,125.5742603,,,
1614621600,,125.0531915,125.5574574,,,,,
1614625200,,,,125.0369304,125.6176007,,,
1614628800,,125.1070267,125.6143867,,,,,
1614632400,,125.1158636,125.6251818,,,,,
1614636000,,,,125.0014827,125.5808758,,,
1614639600,,125.0522813,125.5657812,,,,,
1614643200,,,,124.9693023,125.5464674,,,
1614646800,,,,124.9647717,125.5556398,,,
1614650400,,125.0262188,125.5407656,,,,,
1614654000,,,,124.9932047,125.5865125,,,
1614657600,,125.0483291,125.5624051,,,,,
1614661200,,124.9725432,125.4802099,,,,,
1614664800,,,,124.9543284,125.5417904,,,
1614668400,,,,124.9747439,125.5611471,,,
1614672000,,124.9531094,125.4485938,,,,,
1614675600,,124.9006613,125.392371,,,,,
1614679200,,,,124.9058195,125.4974342,,,
1614682800,,124.881,125.371,,,,,
1614686400,,,,124.899,125.505,,,
1614690000,,125.193,125.71,,,,,
1614693600,,124.842619,125.3486667,,,,,
1614697200,,,,124.8345725,125.398886,,,
1614700800,,124.8558889,125.3615679,,,,,
1614704400,,,,124.8811457,125.4827914,,,
1614708000,,,,124.9342326,125.5221689,,,
1614711600,,124.8712712,125.3721186,,,,,
1614715200,,124.8783692,125.3695538,,,,,
1614718800,,,,124.957563,125.5419778,,,
1614722400,,,,124.916807,125.5019281,,,
1614726000,,124.8611864,125.3420678,,,,,
1614729600,,124.7276625,125.2013625,,,,,
1614733200,,,,124.7714457,125.3595016,,,
1614736800,,,,124.6560564,125.2407315,,,
1614740400,,124.6418796,125.1051667,,,,,
1614744000,,124.554505,125.0180594,,,,,
1614747600,,,,124.5277425,125.1111587,,,
1614751200,,124.4692651,124.9318916,,,,,
1614754800,,,,124.4779306,125.062571,,,
1614758400,,,,124.5052737,125.1029351,,,
1614762000,,124.4951972,124.9659577,,,,,
1614765600,,124.493,124.965,,,,,
1614769200,,,,124.483,125.109,,,
1614772800,,,,124.483,125.109,,,
1614776400,,,,124.483,125.109,,,
1614780000,,,,124.483,125.109,,,
1614783600,,,,124.483,125.109,,,
1614787200,,124.08,124.561,,,,,
1614790800,,124.0749455,124.3933091,,,,,
1614794400,,,,124.0849179,124.6617041,,,
1614798000,,124.2501932,124.5470341,,,,,
1614801600,,,,124.0993423,124.6899038,,,
1614805200,,124.1958706,124.4868235,,,,,
1614808800,,,,124.0072881,124.596761,,,
1614812400,,,,123.9104065,124.5057,,,
1614816000,,124.1082603,124.4109863,,,,,
1614819600,,124.1705942,124.4764928,,,,,
1614823200,,,,123.9784219,124.5700174,,,
1614826800,,124.2241129,124.5835645,,,,,
1614830400,,,,124.021589,124.6083558,,,
1614834000,,,,123.9658229,124.5503941,,,
1614837600,,124.1909701,124.5488955,,,,,
1614841200,,124.1625493,124.5156056,,,,,
1614844800,,,,123.9511081,124.5391403,,,
1614848400,,,,123.9775934,124.5645798,,,
